"MEG_ID"	"Broadclass"	"Class"	"Mechanism"	"Gene"
"72"	"MEG_4588"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"73"	"MEG_3400"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"IND"
"74"	"MEG_4685"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"75"	"MEG_6332"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"76"	"MEG_1077"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-PRIME"
"77"	"MEG_759"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"78"	"MEG_6861"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"79"	"MEG_4174"	"Metals"	"Nickel_resistance"	"Nickel_ABC_efflux_pumps"	"NIKE"
"80"	"MEG_403"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ACRC"
"81"	"MEG_2013"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_regulator"	"CNRR"
"82"	"MEG_4231"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"OCH"
"83"	"MEG_6645"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"TBTA"
"84"	"MEG_7446"	"Drugs"	"Glycopeptides"	"VanN-type_resistance_protein"	"VANN"
"85"	"MEG_4583"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"86"	"MEG_2105"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"CPHA"
"87"	"MEG_1325"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"88"	"MEG_2666"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_resistance_protein"	"DPSA"
"89"	"MEG_169"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"90"	"MEG_6602"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"SULI"
"91"	"MEG_2283"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"92"	"MEG_7740"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"VIM"
"93"	"MEG_1615"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATB|RequiresSNPConfirmation"
"94"	"MEG_2930"	"Drugs"	"Phenicol"	"Phenicol_resistance_MFS_efflux_pumps"	"FLOR"
"95"	"MEG_1257"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"BLAB"
"96"	"MEG_2900"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_ABC_efflux_pumps"	"FETB"
"97"	"MEG_3832"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MATE_efflux_pumps"	"MEPA"
"98"	"MEG_7055"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TETBP"
"99"	"MEG_171"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"100"	"MEG_3759"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MATE_efflux_pumps"	"MDTK"
"101"	"MEG_4382"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"OTRB"
"102"	"MEG_3237"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"103"	"MEG_6966"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TET31"
"104"	"MEG_1864"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"105"	"MEG_4648"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"106"	"MEG_556"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"107"	"MEG_476"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"108"	"MEG_6005"	"Drugs"	"Fluoroquinolones"	"Quinolone_resistance_protein_Qnr"	"QNRB"
"109"	"MEG_310"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"110"	"MEG_3678"	"Drugs"	"Lipopeptides"	"Colistin_phosphoethanolamine_transferase"	"MCR"
"111"	"MEG_315"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"112"	"MEG_1714"	"Metals"	"Chromium_resistance"	"Chromium_resistance_protein"	"CHRE"
"113"	"MEG_6739"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"114"	"MEG_6676"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"115"	"MEG_2217"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"116"	"MEG_7826"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"YFED"
"117"	"MEG_3031"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"FOX"
"118"	"MEG_5379"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE|RequiresSNPConfirmation"
"119"	"MEG_1484"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"CADA"
"120"	"MEG_1367"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"121"	"MEG_1228"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BES"
"122"	"MEG_1573"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATA"
"123"	"MEG_3995"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"MMCO"
"124"	"MEG_7406"	"Drugs"	"Glycopeptides"	"VanA-type_resistance_protein"	"VANHA"
"125"	"MEG_5169"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"126"	"MEG_7483"	"Drugs"	"Glycopeptides"	"VanL-type_regulator"	"VANRL"
"127"	"MEG_5599"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"128"	"MEG_5723"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"129"	"MEG_266"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"130"	"MEG_7169"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETO"
"131"	"MEG_6912"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"132"	"MEG_6156"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"SALA"
"133"	"MEG_4370"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"ORN"
"134"	"MEG_4158"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"NDM"
"135"	"MEG_1724"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CKO"
"136"	"MEG_1813"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"137"	"MEG_7867"	"Metals"	"Zinc_resistance"	"Zinc_resistance_regulator"	"ZUR"
"138"	"MEG_6914"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"139"	"MEG_1711"	"Metals"	"Chromium_resistance"	"Chromium_resistance_protein"	"CHRB1"
"140"	"MEG_7063"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TETC"
"141"	"MEG_2834"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMG"
"142"	"MEG_431"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"143"	"MEG_2845"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMS"
"144"	"MEG_5833"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_SMR_efflux_pumps"	"QACF"
"145"	"MEG_2329"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"146"	"MEG_1448"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"147"	"MEG_6808"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"148"	"MEG_7780"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"VMEA"
"149"	"MEG_3410"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"IND"
"150"	"MEG_7138"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"
"151"	"MEG_6704"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"152"	"MEG_262"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"153"	"MEG_682"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ADEF"
"154"	"MEG_6343"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"155"	"MEG_2582"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DFRK"
"156"	"MEG_3581"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"LHK"
"157"	"MEG_4719"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"158"	"MEG_1697"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CFX"
"159"	"MEG_6393"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"160"	"MEG_4153"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"NDM"
"161"	"MEG_640"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"162"	"MEG_3189"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"163"	"MEG_5005"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"164"	"MEG_118"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"165"	"MEG_3180"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"166"	"MEG_6580"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"SULI"
"167"	"MEG_1501"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CARB"
"168"	"MEG_5654"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"169"	"MEG_5619"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"170"	"MEG_1310"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLASGM"
"171"	"MEG_5091"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"172"	"MEG_3301"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"IMI"
"173"	"MEG_3794"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"MECA"
"174"	"MEG_628"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"175"	"MEG_1184"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"AXC"
"176"	"MEG_5466"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"177"	"MEG_6330"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"178"	"MEG_436"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"179"	"MEG_3471"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"KPC"
"180"	"MEG_2698"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_SMR_efflux_pump"	"EBRB"
"181"	"MEG_2209"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"182"	"MEG_1369"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"183"	"MEG_5658"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"184"	"MEG_1145"	"Metals"	"Arsenic_resistance"	"Arsenic_resistance_protein"	"ARSB"
"185"	"MEG_7460"	"Drugs"	"Glycopeptides"	"VanB-type_regulator"	"VANRB"
"186"	"MEG_538"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"187"	"MEG_2604"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"DHA"
"188"	"MEG_51"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC3"
"189"	"MEG_2211"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"190"	"MEG_6962"	"Metals"	"Tellurium_resistance"	"Tellurium_resistance_protein"	"TERZ"
"191"	"MEG_7139"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"
"192"	"MEG_3881"	"Metals"	"Mercury_resistance"	"Mercury_resistance_regulator"	"MERR"
"193"	"MEG_3511"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"KPC"
"194"	"MEG_7130"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"
"195"	"MEG_5386"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE|RequiresSNPConfirmation"
"196"	"MEG_7132"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"
"197"	"MEG_3973"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"MIR"
"198"	"MEG_2069"	"Metals"	"Copper_resistance"	"Copper_resistance_regulator"	"COPR"
"199"	"MEG_2872"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"EXO"
"200"	"MEG_6159"	"Drugs"	"Nucleosides"	"Streptothricin_acetyltransferase"	"SAT"
"201"	"MEG_5072"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"202"	"MEG_5242"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"203"	"MEG_6990"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TET39"
"204"	"MEG_7676"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"VGA"
"205"	"MEG_2819"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMC"
"206"	"MEG_2141"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"CTPG"
"207"	"MEG_1624"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATB|RequiresSNPConfirmation"
"208"	"MEG_982"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT4-PRIME"
"209"	"MEG_2689"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_protein"	"DSBB"
"210"	"MEG_5861"	"Drugs"	"Fluoroquinolones"	"Quinolone_active_efflux"	"QEPA"
"211"	"MEG_7201"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETS"
"212"	"MEG_6218"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"213"	"MEG_483"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"214"	"MEG_7724"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"VIM"
"215"	"MEG_7150"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETO"
"216"	"MEG_1485"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_regulator"	"CADC"
"217"	"MEG_6703"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"218"	"MEG_6226"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"219"	"MEG_3771"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"MECA"
"220"	"MEG_2725"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"EMRB"
"221"	"MEG_5888"	"Drugs"	"Fluoroquinolones"	"Quinolone_resistance_protein_Qnr"	"QNRB"
"222"	"MEG_6722"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"TEM"
"223"	"MEG_2779"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERM42"
"224"	"MEG_7381"	"Drugs"	"Glycopeptides"	"VanC-type_resistance_protein"	"VANC"
"225"	"MEG_5662"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"226"	"MEG_5653"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"227"	"MEG_1800"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"228"	"MEG_6365"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"SHV"
"229"	"MEG_5847"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_SMR_efflux_pumps"	"QACH"
"230"	"MEG_498"	"Multi-compound"	"Biocide_and_metal_resistance"	"Biocide_and_metal_resistance_protein"	"ACTA"
"231"	"MEG_2113"	"Drugs"	"Phenicol"	"Chloramphenicol_phosphotransferase"	"CPT"
"232"	"MEG_2970"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"FOLP|RequiresSNPConfirmation"
"233"	"MEG_7115"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"
"234"	"MEG_3468"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"KPC"
"235"	"MEG_7487"	"Drugs"	"Glycopeptides"	"VanA-type_regulator"	"VANSA"
"236"	"MEG_4307"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"OPTRA"
"237"	"MEG_1978"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"238"	"MEG_5585"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"PDC"
"239"	"MEG_6147"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSH|RequiresSNPConfirmation"
"240"	"MEG_4858"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"241"	"MEG_3437"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_regulator"	"IRLR"
"242"	"MEG_3570"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"LEN"
"243"	"MEG_535"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ADC"
"244"	"MEG_1482"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"BUT"
"245"	"MEG_4903"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"246"	"MEG_2100"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"CPHA"
"247"	"MEG_4368"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"OQXB"
"248"	"MEG_5418"	"Metals"	"Copper_resistance"	"Copper_resistance_protein"	"PCOB"
"249"	"MEG_2752"	"Drugs"	"MLS"	"Macrolide_esterases"	"EREB"
"250"	"MEG_3490"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"KPC"
"251"	"MEG_3587"	"Drugs"	"Lipopeptides"	"Daptomycin-resistant_mutant"	"LIAFSR|RequiresSNPConfirmation"
"252"	"MEG_450"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"
"253"	"MEG_2740"	"Drugs"	"MLS"	"Macrolide_esterases"	"EREA"
"254"	"MEG_142"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"255"	"MEG_3989"	"Drugs"	"MLS"	"Macrolide-resistant_23S_rRNA_mutation"	"MLS23S|RequiresSNPConfirmation"
"256"	"MEG_5144"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"257"	"MEG_5048"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"
"258"	"MEG_5836"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_SMR_efflux_pumps"	"QACF"
"259"	"MEG_1187"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"AXYZ|RequiresSNPConfirmation"
